Transaction Date,Transaction Type,Fee Name,Transaction Number,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
01 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-ZX0DJG9-210202,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-0.97,0.11,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124491803272198,124491803672198,Delivered,PK-LCS,standard,Dropshipping,124491803672198,,
01 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-J3MOI2F-210202,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124491803272198,124491803672198,Delivered,PK-LCS,standard,Dropshipping,124491803672198,,
01 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-86AFO2M-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124692431824041,124692434624041,Delivered,PK-DEX,standard,Dropshipping,124692434624041,,
01 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-TJK3UKV-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,34.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124692431824041,124692434624041,Delivered,PK-DEX,standard,Dropshipping,124692434624041,,
01 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-WVQ86UZ-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,59.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124692431824041,124692434624041,Delivered,PK-DEX,standard,Dropshipping,124692434624041,,
01 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-WH6NXB6-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-38.42,4.42,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124692431824041,124692434624041,Delivered,PK-DEX,standard,Dropshipping,124692434624041,,
01 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-S6JLUZO-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-0.84,0.10,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124692431824041,124692434624041,Delivered,PK-DEX,standard,Dropshipping,124692434624041,,
01 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-JAFK4IP-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124692431824041,124692434624041,Delivered,PK-DEX,standard,Dropshipping,124692434624041,,
01 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-9PGCR2Y-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124667452488807,124667453088807,Delivered,PK-DEX,standard,Dropshipping,124667453088807,,
01 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-WZ4I11M-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124667452488807,124667453088807,Delivered,PK-DEX,standard,Dropshipping,124667453088807,,
